layer_c_id,layer_name,duration_ms
0,conv2d_0,63.30537796020508
1,conv2d_1,49.97932434082031
2,conv2d_2,28.84119987487793
3,conv2d_3,28.84996223449707
4,conv2d_4,37.16291809082031
5,conv2d_5,4.490133285522461
6,conv2d_6,21.5576171875
7,conv2d_7,41.12519836425781
8,conv2d_8,11.044710159301758
9,eltwise_9,1.07260000705719
10,conv2d_10,21.56046485900879
11,conv2d_11,75.53250122070312
12,conv2d_12,11.035945892333984
13,eltwise_13,1.080245852470398
14,conv2d_14_slice_3,0.044216666370630264
15,conv2d_14_3,6.835753917694092
16,conv2d_15_3,12.232778549194336
17,conv2d_14_slice_2,0.045516666024923325
18,conv2d_14_2,8.184154510498047
19,conv2d_15_2,12.01685905456543
20,conv2d_14_slice_1,0.04569791629910469
21,conv2d_14_1,8.183235168457031
22,conv2d_15_1,12.01427936553955
23,conv2d_14_slice_0,0.04205416515469551
24,conv2d_14_0,7.5074543952941895
25,conv2d_15_0,12.09640884399414
26,conv2d_15_concat,0.21917083859443665
27,conv2d_16,21.49584197998047
28,conv2d_17,35.62873077392578
29,conv2d_18,22.214569091796875
30,conv2d_19,29.885953903198242
31,eltwise_20,1.4398584365844727
32,conv2d_21,35.62609100341797
33,conv2d_22,90.36294555664062
34,conv2d_23,32.59573745727539
35,eltwise_24,1.4217416048049927
36,conv2d_25,28.617563247680664
37,conv2d_26,17.60930061340332
38,conv2d_27,10.124131202697754
39,conv2d_28,20.885772705078125
40,conv2d_29,9.343901634216309
41,conv2d_30,17.633682250976562
42,eltwise_31,0.5616791844367981
43,conv2d_32,21.066192626953125
44,conv2d_33,39.66352462768555
45,conv2d_34,19.72310447692871
46,eltwise_35,0.5652207732200623
47,conv2d_36,26.296951293945312
48,conv2d_37,11.963104248046875
49,conv2d_38,21.8607120513916
50,conv2d_39,23.737058639526367
51,conv2d_40,25.40608787536621
52,conv2d_41,19.752212524414062
53,eltwise_42,0.5612625479698181
54,conv2d_43,23.954299926757812
55,conv2d_44,25.42173957824707
56,conv2d_45,19.753437042236328
57,eltwise_46,0.5653749704360962
58,conv2d_47,31.435789108276367
59,conv2d_48,15.201237678527832
60,conv2d_49,14.283270835876465
61,conv2d_50,20.03162956237793
62,conv2d_51,21.859228134155273
63,conv2d_52,22.260107040405273
64,eltwise_53,0.2803666591644287
65,conv2d_54,20.07691764831543
66,conv2d_55,13.077984809875488
67,conv2d_56,22.26397705078125
68,eltwise_57,0.2797958254814148
69,conv2d_58,13.330406188964844
70,conv2d_59,4.2922163009643555
71,conv2d_60,22.222028732299805
72,conv2d_61,3.0563459396362305
73,conv2d_62,21.727375030517578
74,conv2d_67,4.277237415313721
75,conv2d_82,5.971695899963379
76,conv2d_63,7.238370895385742
77,conv2d_63_0_conversion,0.18524791300296783
78,upsample_64,0.2685583233833313
79,upsample_64_1_conversion,1.9290188550949097
80,concat_65,0.1963895857334137
81,conv2d_66,30.15007781982422
82,conv2d_68,7.785041809082031
83,conv2d_69,15.30986213684082
84,conv2d_70,3.8967957496643066
85,conv2d_71,16.064157485961914
86,conv2d_76,7.824900150299072
87,conv2d_83,12.091678619384766
88,conv2d_72,5.071429252624512
89,conv2d_72_2_conversion,0.24584583938121796
90,upsample_73,0.3253479301929474
91,upsample_73_3_conversion,2.507110357284546
92,concat_74,0.47523748874664307
93,conv2d_75,28.394344329833984
94,conv2d_77,13.527814865112305
95,conv2d_78,14.058570861816406
96,conv2d_79,6.930512428283691
97,conv2d_80,16.84784698486328
98,conv2d_81,13.375091552734375
99,conv2d_84,24.854570388793945
